Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.7700       -6882.3653  -6876.4622   -6901.8933      25.4311  3074.1
0.7800       -6882.3463  -6875.7433   -6901.5371      25.7937  3118.0
0.7900       -6882.3277  -6875.4428   -6900.5252      25.0824  3032.0
0.8000       -6882.3237  -6875.3531   -6899.6791      24.3260  2940.5
0.8100       -6882.3193  -6875.3123   -6900.9211      25.6088  3095.6
0.8200       -6882.3007  -6875.5833   -6900.7360      25.1527  3040.5
0.8300       -6882.2963  -6876.0840   -6900.5450      24.4610  2956.9
0.8400       -6882.3072  -6876.5235   -6898.9348      22.4113  2709.1
0.8500       -6882.3462  -6876.4093   -6898.5601      22.1508  2677.6
0.8600       -6882.3651  -6875.6852   -6900.4107      24.7255  2988.8
0.8700       -6882.3485  -6874.9366   -6900.6619      25.7253  3109.7
0.8800       -6882.3170  -6874.6447   -6902.0545      27.4098  3313.3
0.8900       -6882.2650  -6875.3454   -6903.1600      27.8146  3362.2
0.9000       -6882.2226  -6877.1669   -6903.2254      26.0585  3150.0
0.9100       -6882.2305  -6879.1269   -6900.0697      20.9428  2531.6
0.9200       -6882.2993  -6880.0675   -6901.0961      21.0285  2541.9
0.9300       -6882.3357  -6880.1287   -6903.3479      23.2192  2806.7
0.9400       -6882.3411  -6879.8005   -6904.3274      24.5269  2964.8
0.9500       -6882.3362  -6879.4712   -6904.3986      24.9273  3013.2
0.9600       -6882.3273  -6879.2818   -6904.1071      24.8253  3000.9
0.9700       -6882.3251  -6879.2216   -6903.8052      24.5836  2971.7
0.9800       -6882.3279  -6879.1753   -6902.6832      23.5079  2841.6
0.9900       -6882.3389  -6878.9181   -6903.7971      24.8791  3007.4
1.0000       -6882.3117  -6878.8275   -6906.1206      27.2931  3299.2
1.0100       -6882.2738  -6879.5775   -6905.3411      25.7636  3114.3
1.0200       -6882.2747  -6880.6365   -6903.6635      23.0270  2783.5
1.0300       -6882.3078  -6881.2523   -6903.1957      21.9433  2652.5
1.0400       -6882.3443  -6881.1783   -6903.6856      22.5073  2720.7
1.0500       -6882.3588  -6880.5680   -6905.4222      24.8542  3004.4
1.0600       -6882.3420  -6880.0074   -6905.8357      25.8283  3122.1
1.0700       -6882.3251  -6879.8347   -6904.7287      24.8940  3009.2
1.0800       -6882.3252  -6879.8367   -6903.7311      23.8944  2888.4
1.0900       -6882.3481  -6879.6327   -6901.4050      21.7723  2631.8
1.1000       -6882.3837  -6878.7775   -6902.3161      23.5386  2845.4
1.1100       -6882.3744  -6877.5553   -6904.0445      26.4892  3202.0
1.1200       -6882.3286  -6876.9028   -6904.6130      27.7102  3349.6
1.1300       -6882.2918  -6877.2682   -6902.4567      25.1885  3044.8
1.1400       -6882.3022  -6877.8075   -6900.0428      22.2353  2687.8
1.1500       -6882.3279  -6877.8853   -6903.2293      25.3439  3063.6
1.1600       -6882.2980  -6878.1437   -6903.9558      25.8122  3120.2
1.1700       -6882.2912  -6878.7686   -6902.2383      23.4697  2837.0
1.1800       -6882.3162  -6879.1389   -6902.3606      23.2217  2807.0
1.1900       -6882.3326  -6879.1479   -6902.4054      23.2574  2811.4
1.2000       -6882.3563  -6878.7672   -6900.9045      22.1373  2676.0
1.2100       -6882.3789  -6877.8395   -6903.1110      25.2715  3054.8
1.2200       -6882.3584  -6876.9475   -6901.8482      24.9007  3010.0
1.2300       -6882.3489  -6876.2694   -6901.7372      25.4678  3078.6
1.2400       -6882.3158  -6875.9798   -6903.9208      27.9410  3377.5
1.2500       -6882.2593  -6876.8112   -6903.7779      26.9667  3259.7
1.2600       -6882.2439  -6878.3615   -6902.1545      23.7930  2876.1
1.2700       -6882.2723  -6879.5988   -6901.8767      22.2779  2693.0
1.2800       -6882.3028  -6880.2590   -6903.1514      22.8923  2767.2
1.2900       -6882.3282  -6880.4384   -6902.7975      22.3591  2702.8
1.3000       -6882.3629  -6880.0355   -6902.3880      22.3524  2702.0
1.3100       -6882.3860  -6879.0395   -6902.8082      23.7687  2873.2
1.3200       -6882.3842  -6877.7703   -6903.1132      25.3429  3063.5
1.3300       -6882.3602  -6876.7170   -6903.0145      26.2975  3178.9
1.3400       -6882.3328  -6876.2310   -6902.0119      25.7809  3116.4
1.3500       -6882.3107  -6876.2307   -6902.3420      26.1113  3156.3
1.3600       -6882.2809  -6876.8068   -6903.1714      26.3646  3187.0
1.3700       -6882.2622  -6877.9378   -6902.5981      24.6603  2980.9
1.3800       -6882.2786  -6878.9993   -6900.7630      21.7637  2630.8
1.3900       -6882.3342  -6879.3074   -6900.2905      20.9831  2536.4
1.4000       -6882.3836  -6878.6632   -6899.9254      21.2621  2570.2
1.4100       -6882.3992  -6877.1560   -6903.3510      26.1950  3166.5
1.4200       -6882.3446  -6875.9584   -6904.9909      29.0326  3509.5
1.4300       -6882.2740  -6876.3151   -6904.3858      28.0707  3393.2
1.4400       -6882.2472  -6877.7019   -6901.4377      23.7358  2869.2
1.4500       -6882.2670  -6878.9685   -6902.9314      23.9628  2896.6
1.4600       -6882.2856  -6879.9360   -6901.6031      21.6671  2619.1
1.4700       -6882.3390  -6880.1232   -6900.8475      20.7244  2505.2
1.4800       -6882.3822  -6879.3604   -6902.7453      23.3849  2826.8
1.4900       -6882.3710  -6878.1787   -6905.1986      27.0199  3266.2
1.5000       -6882.3359  -6877.6171   -6902.0308      24.4137  2951.1
1.5100       -6882.3542  -6877.1823   -6900.7206      23.5383  2845.3
1.5200       -6882.3448  -6876.5481   -6903.8294      27.2814  3297.8
1.5300       -6882.2935  -6876.7013   -6903.1371      26.4358  3195.6
1.5400       -6882.2834  -6877.4316   -6901.2695      23.8379  2881.5
1.5500       -6882.2856  -6878.1189   -6903.6909      25.5720  3091.2
1.5600       -6882.2592  -6879.2023   -6905.5648      26.3624  3186.7
1.5700       -6882.2442  -6880.7411   -6904.1717      23.4306  2832.3
1.5800       -6882.2782  -6881.8860   -6903.9753      22.0893  2670.2
1.5900       -6882.3145  -6882.3837   -6904.4260      22.0423  2664.5
1.6000       -6882.3549  -6882.1914   -6904.2578      22.0664  2667.4
1.6100       -6882.3816  -6881.3241   -6904.6051      23.2810  2814.2
1.6200       -6882.3948  -6880.0640   -6904.0007      23.9367  2893.5
1.6300       -6882.3993  -6878.6046   -6902.6667      24.0621  2908.6
1.6400       -6882.3875  -6877.0418   -6904.0429      27.0010  3263.9
1.6500       -6882.3348  -6876.1684   -6904.0111      27.8427  3365.6
1.6600       -6882.2882  -6876.4382   -6903.0637      26.6255  3218.5
1.6700       -6882.2620  -6877.4759   -6903.3755      25.8996  3130.7
1.6800       -6882.2495  -6878.9155   -6903.0872      24.1718  2921.9
1.6900       -6882.2662  -6880.1992   -6903.5202      23.3211  2819.1
1.7000       -6882.2848  -6881.1451   -6903.7073      22.5621  2727.3
1.7100       -6882.3259  -6881.4987   -6902.8844      21.3857  2585.1
1.7200       -6882.3690  -6881.0530   -6903.4840      22.4311  2711.5
1.7300       -6882.3927  -6879.9765   -6903.0060      23.0296  2783.8
1.7400       -6882.3988  -6878.4667   -6904.3556      25.8889  3129.5
1.7500       -6882.3539  -6877.2472   -6904.9691      27.7219  3351.0
1.7600       -6882.3138  -6877.0466   -6902.7042      25.6576  3101.5
1.7700       -6882.3001  -6877.3487   -6902.9614      25.6127  3096.1
1.7800       -6882.2850  -6877.9979   -6902.8119      24.8140  2999.5
1.7900       -6882.2878  -6878.7179   -6902.3198      23.6019  2853.0
1.8000       -6882.2955  -6879.2745   -6904.3122      25.0376  3026.6
1.8100       -6882.2801  -6880.0211   -6905.3348      25.3137  3059.9
1.8200       -6882.2791  -6880.9384   -6904.3569      23.4185  2830.8
1.8300       -6882.3047  -6881.5451   -6903.9358      22.3907  2706.6
1.8400       -6882.3414  -6881.5617   -6903.7224      22.1607  2678.8
1.8500       -6882.3719  -6880.9404   -6903.8086      22.8682  2764.3
1.8600       -6882.3922  -6879.8252   -6902.9757      23.1506  2798.4
1.8700       -6882.4038  -6878.3279   -6903.1088      24.7809  2995.5
1.8800       -6882.3911  -6876.8089   -6901.9152      25.1062  3034.9
1.8900       -6882.3786  -6875.5193   -6901.1157      25.5964  3094.1
1.9000       -6882.3556  -6874.5676   -6900.4502      25.8825  3128.7
1.9100       -6882.3280  -6874.1135   -6900.5478      26.4342  3195.4
1.9200       -6882.2923  -6874.3301   -6901.4516      27.1215  3278.5
1.9300       -6882.2399  -6875.5657   -6903.7801      28.2143  3410.6
1.9400       -6882.1944  -6877.9806   -6903.8440      25.8633  3126.4
1.9500       -6882.1994  -6880.5034   -6902.7186      22.2152  2685.4
1.9600       -6882.2451  -6882.2761   -6904.1539      21.8777  2644.6
1.9700       -6882.2782  -6883.3806   -6906.3552      22.9746  2777.2
1.9800       -6882.2987  -6884.0588   -6906.9559      22.8970  2767.8
1.9900       -6882.3332  -6884.2364   -6905.7291      21.4927  2598.0
2.0000       -6882.3849  -6883.6263   -6904.6895      21.0632  2546.1
2.0100       -6882.4368  -6882.1131   -6903.3877      21.2745  2571.7
2.0200       -6882.4811  -6879.7168   -6901.9988      22.2819  2693.5
2.0300       -6882.4801  -6876.3885   -6902.7706      26.3821  3189.1
2.0400       -6882.4210  -6873.2985   -6904.0570      30.7585  3718.1
2.0500       -6882.2992  -6872.2469   -6903.8949      31.6480  3825.6
2.0600       -6882.2025  -6874.0338   -6903.9556      29.9218  3617.0
2.0700       -6882.1413  -6877.5423   -6903.4433      25.9011  3130.9
2.0800       -6882.1514  -6881.0374   -6903.3241      22.2867  2694.0
2.0900       -6882.2079  -6883.5299   -6903.1846      19.6547  2375.9
2.1000       -6882.2919  -6884.6751   -6903.7624      19.0873  2307.3
2.1100       -6882.3682  -6884.5277   -6904.8822      20.3546  2460.5
2.1200       -6882.4230  -6883.2651   -6904.5427      21.2776  2572.0
2.1300       -6882.4668  -6881.0821   -6903.2144      22.1323  2675.4
2.1400       -6882.4868  -6878.0850   -6902.1655      24.0805  2910.9
2.1500       -6882.4731  -6874.7213   -6901.5191      26.7978  3239.3
2.1600       -6882.4137  -6871.8242   -6900.8650      29.0409  3510.5
2.1700       -6882.3214  -6870.5361   -6902.3058      31.7697  3840.3
2.1800       -6882.1982  -6872.1407   -6904.3891      32.2484  3898.2
2.1900       -6882.1079  -6876.3959   -6903.2482      26.8523  3245.9
2.2000       -6882.1203  -6880.5123   -6901.5502      21.0378  2543.1
2.2100       -6882.1906  -6883.2677   -6903.4566      20.1889  2440.4
2.2200       -6882.2485  -6885.0274   -6906.4871      21.4596  2594.0
2.2300       -6882.2987  -6885.9514   -6906.7132      20.7618  2509.7
2.2400       -6882.3667  -6885.8516   -6905.2663      19.4147  2346.9
2.2500       -6882.4427  -6884.5268   -6904.7350      20.2083  2442.8
2.2600       -6882.4948  -6881.9782   -6904.0582      22.0800  2669.0
2.2700       -6882.5135  -6878.4928   -6902.5815      24.0886  2911.8
2.2800       -6882.4925  -6874.5669   -6902.4904      27.9235  3375.4
2.2900       -6882.4037  -6871.3302   -6902.9538      31.6236  3822.7
2.3000       -6882.2882  -6870.6706   -6901.5485      30.8778  3732.5
2.3100       -6882.2097  -6872.4673   -6900.3927      27.9254  3375.6
2.3200       -6882.1850  -6875.1420   -6899.4771      24.3351  2941.6
2.3300       -6882.1881  -6877.8398   -6902.9275      25.0877  3032.6
2.3400       -6882.1831  -6880.6627   -6904.1906      23.5280  2844.1
2.3500       -6882.2192  -6882.9281   -6904.0257      21.0976  2550.3
2.3600       -6882.2818  -6884.1756   -6904.1218      19.9462  2411.1
2.3700       -6882.3561  -6884.2526   -6904.1497      19.8971  2405.2
2.3800       -6882.4238  -6883.1589   -6903.4112      20.2523  2448.1
2.3900       -6882.4889  -6880.9705   -6901.1496      20.1792  2439.3
2.4000       -6882.5352  -6877.5632   -6900.4202      22.8570  2763.0
2.4100       -6882.5024  -6872.9505   -6904.3319      31.3814  3793.4
2.4200       -6882.3439  -6869.9499   -6906.1627      36.2127  4377.4
