Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.7700       -6887.1143  -6890.5059   -6907.2783      16.7723  2027.4
0.7800       -6887.0981  -6890.5762   -6907.7871      17.2108  2080.5
0.7900       -6887.0850  -6890.9199   -6907.3174      16.3976  1982.2
0.8000       -6887.1001  -6891.2061   -6905.0879      13.8817  1678.0
0.8100       -6887.1387  -6890.9126   -6905.8999      14.9874  1811.7
0.8200       -6887.1284  -6890.1938   -6908.0186      17.8245  2154.6
0.8300       -6887.1011  -6889.8848   -6908.3486      18.4637  2231.9
0.8400       -6887.0698  -6890.2661   -6907.6621      17.3961  2102.9
0.8500       -6887.0620  -6891.0742   -6908.5933      17.5192  2117.7
0.8600       -6887.0469  -6892.2676   -6909.2822      17.0145  2056.7
0.8700       -6887.0479  -6893.5527   -6908.6260      15.0730  1822.0
0.8800       -6887.0728  -6894.3833   -6908.4072      14.0240  1695.2
0.8900       -6887.1177  -6894.6084   -6908.3774      13.7691  1664.4
0.9000       -6887.1548  -6894.1602   -6908.5200      14.3598  1735.8
0.9100       -6887.1646  -6893.1240   -6908.9751      15.8511  1916.1
0.9200       -6887.1782  -6891.8818   -6908.1748      16.2930  1969.5
0.9300       -6887.1641  -6890.5923   -6908.6221      18.0296  2179.4
0.9400       -6887.1294  -6889.7920   -6908.7085      18.9166  2286.7
0.9500       -6887.0840  -6889.9604   -6909.8130      19.8528  2399.8
0.9600       -6887.0337  -6891.3062   -6908.8301      17.5239  2118.3
0.9700       -6887.0454  -6892.7344   -6906.7319      13.9976  1692.0
0.9800       -6887.0747  -6893.5703   -6908.9785      15.4082  1862.6
0.9900       -6887.0869  -6894.1743   -6909.7119      15.5377  1878.2
1.0000       -6887.1089  -6894.4727   -6908.5264      14.0537  1698.8
1.0100       -6887.1333  -6894.2031   -6909.1416      14.9385  1805.8
1.0200       -6887.1450  -6893.5220   -6909.9541      16.4320  1986.3
1.0300       -6887.1479  -6892.8257   -6909.9854      17.1595  2074.2
1.0400       -6887.1265  -6892.3677   -6909.4258      17.0580  2062.0
1.0500       -6887.1265  -6892.1309   -6907.5464      15.4155  1863.4
1.0600       -6887.1455  -6891.7104   -6907.2998      15.5891  1884.4
1.0700       -6887.1436  -6891.0635   -6907.8628      16.7992  2030.7
1.0800       -6887.1377  -6890.5015   -6906.2275      15.7259  1901.0
1.0900       -6887.1514  -6889.8330   -6905.4614      15.6283  1889.2
1.1000       -6887.1392  -6888.9688   -6906.8779      17.9090  2164.8
1.1100       -6887.1235  -6888.5430   -6906.3315      17.7888  2150.3
1.1200       -6887.0923  -6888.6685   -6907.2627      18.5945  2247.7
1.1300       -6887.0581  -6889.6035   -6908.1895      18.5858  2246.7
1.1400       -6887.0371  -6891.2554   -6908.1523      16.8968  2042.5
1.1500       -6887.0503  -6892.7734   -6906.3340      13.5606  1639.2
1.1600       -6887.0972  -6893.4600   -6906.5776      13.1177  1585.7
1.1700       -6887.1411  -6893.3931   -6908.2290      14.8361  1793.4
1.1800       -6887.1465  -6892.8569   -6908.9272      16.0704  1942.6
1.1900       -6887.1431  -6892.2100   -6908.6787      16.4690  1990.8
1.2000       -6887.1426  -6891.5908   -6907.2314      15.6407  1890.6
1.2100       -6887.1567  -6890.8340   -6906.5840      15.7501  1903.9
1.2200       -6887.1562  -6889.8901   -6906.4824      16.5924  2005.7
1.2300       -6887.1440  -6889.0078   -6906.7012      17.6931  2138.8
1.2400       -6887.1147  -6888.5459   -6906.8135      18.2677  2208.2
1.2500       -6887.0933  -6888.7593   -6906.6748      17.9157  2165.7
1.2600       -6887.0620  -6889.5215   -6907.2803      17.7587  2146.7
1.2700       -6887.0474  -6890.7266   -6907.0601      16.3335  1974.4
1.2800       -6887.0654  -6891.7295   -6905.3838      13.6541  1650.5
1.2900       -6887.1064  -6892.0522   -6906.6650      14.6127  1766.4
1.3000       -6887.1206  -6891.9570   -6908.8618      16.9046  2043.4
1.3100       -6887.1079  -6891.9883   -6909.1846      17.1964  2078.7
1.3200       -6887.0952  -6892.2886   -6908.7026      16.4141  1984.1
1.3300       -6887.1089  -6892.5845   -6907.4629      14.8785  1798.5
1.3400       -6887.1255  -6892.5127   -6907.9985      15.4860  1872.0
1.3500       -6887.1304  -6892.2124   -6909.0747      16.8624  2038.3
1.3600       -6887.1196  -6892.0469   -6908.9863      16.9397  2047.7
1.3700       -6887.1187  -6892.0776   -6908.5024      16.4250  1985.5
1.3800       -6887.1118  -6892.1646   -6908.4214      16.2567  1965.1
1.3900       -6887.1211  -6892.2026   -6907.3354      15.1329  1829.3
1.4000       -6887.1304  -6891.9658   -6908.2051      16.2393  1963.0
1.4100       -6887.1338  -6891.6533   -6907.4668      15.8133  1911.5
1.4200       -6887.1470  -6891.2017   -6906.0078      14.8063  1789.8
1.4300       -6887.1646  -6890.3730   -6906.5420      16.1688  1954.5
1.4400       -6887.1484  -6889.4351   -6908.3237      18.8889  2283.3
1.4500       -6887.0908  -6889.3066   -6909.2339      19.9273  2408.8
1.4600       -6887.0547  -6890.4004   -6907.9878      17.5873  2126.0
1.4700       -6887.0522  -6891.7871   -6907.6421      15.8548  1916.5
1.4800       -6887.0635  -6893.0137   -6908.3872      15.3736  1858.4
1.4900       -6887.0889  -6893.8862   -6907.9697      14.0833  1702.4
1.5000       -6887.1260  -6894.1226   -6907.6973      13.5748  1640.9
1.5100       -6887.1636  -6893.6611   -6907.7178      14.0565  1699.2
1.5200       -6887.1963  -6892.5684   -6906.9414      14.3731  1737.4
1.5300       -6887.2129  -6890.8628   -6908.6113      17.7483  2145.4
1.5400       -6887.1582  -6889.2910   -6909.6182      20.3273  2457.2
1.5500       -6887.1064  -6889.0151   -6906.4688      17.4535  2109.8
1.5600       -6887.1099  -6889.2188   -6905.1714      15.9525  1928.3
1.5700       -6887.1011  -6889.3613   -6905.7637      16.4025  1982.7
1.5800       -6887.1045  -6889.5205   -6905.6143      16.0939  1945.4
1.5900       -6887.1050  -6889.6768   -6907.1895      17.5129  2117.0
1.6000       -6887.0698  -6890.3027   -6909.4434      19.1405  2313.7
1.6100       -6887.0391  -6891.8384   -6909.2705      17.4320  2107.2
