Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6876.9727  -6877.4717   -6902.2148      24.7432  2991.0
0.0200       -6876.9961  -6877.9409   -6901.1865      23.2457  2810.0
0.0300       -6877.0000  -6878.2324   -6904.7769      26.5443  3208.7
0.0400       -6876.9673  -6879.1230   -6905.1118      25.9887  3141.5
0.0500       -6876.9565  -6880.3398   -6903.3418      23.0019  2780.5
0.0600       -6876.9956  -6881.1626   -6903.6704      22.5076  2720.7
0.0700       -6877.0269  -6881.3716   -6903.1626      21.7909  2634.1
0.0800       -6877.0610  -6880.9155   -6904.3818      23.4665  2836.6
0.0900       -6877.0752  -6880.0908   -6904.3154      24.2246  2928.3
0.1000       -6877.0562  -6879.1938   -6905.5273      26.3337  3183.2
0.1100       -6877.0225  -6878.8057   -6904.4409      25.6354  3098.8
0.1200       -6877.0176  -6878.7300   -6900.6372      21.9071  2648.1
0.1300       -6877.0674  -6878.1309   -6901.4917      23.3611  2823.9
0.1400       -6877.0620  -6877.1558   -6902.9692      25.8136  3120.4
0.1500       -6877.0479  -6876.4917   -6900.6460      24.1545  2919.8
0.1600       -6877.0435  -6875.8579   -6901.3882      25.5304  3086.1
0.1700       -6877.0171  -6875.5967   -6903.4287      27.8321  3364.4
0.1800       -6876.9629  -6876.3477   -6902.4097      26.0618  3150.4
0.1900       -6876.9629  -6877.5127   -6900.7651      23.2524  2810.8
0.2000       -6876.9834  -6878.3384   -6901.2817      22.9432  2773.4
0.2100       -6876.9941  -6878.7690   -6903.0078      24.2390  2930.0
0.2200       -6877.0098  -6879.1274   -6903.0093      23.8819  2886.9
0.2300       -6877.0225  -6879.2715   -6902.0195      22.7482  2749.8
0.2400       -6877.0518  -6878.9219   -6901.0176      22.0959  2671.0
0.2500       -6877.0728  -6877.9678   -6902.7026      24.7347  2989.9
0.2600       -6877.0596  -6876.9390   -6901.6265      24.6875  2984.2
0.2700       -6877.0508  -6875.9907   -6898.8237      22.8328  2760.0
0.2800       -6877.0942  -6874.7310   -6900.1899      25.4592  3077.5
0.2900       -6877.0527  -6873.6802   -6903.3916      29.7114  3591.5
0.3000       -6876.9521  -6874.3604   -6903.6958      29.3355  3546.1
0.3100       -6876.9106  -6876.6812   -6902.7026      26.0214  3145.5
0.3200       -6876.8965  -6879.1733   -6901.8926      22.7191  2746.3
0.3300       -6876.9385  -6881.1484   -6903.6035      22.4553  2714.4
0.3400       -6876.9712  -6882.4355   -6903.6421      21.2065  2563.5
0.3500       -6877.0303  -6882.8516   -6904.0117      21.1599  2557.8
0.3600       -6877.0820  -6882.3530   -6902.7681      20.4149  2467.8
0.3700       -6877.1445  -6880.8389   -6902.0713      21.2325  2566.6
0.3800       -6877.1621  -6878.2466   -6903.9404      25.6936  3105.9
0.3900       -6877.1143  -6875.6167   -6904.0112      28.3946  3432.4
0.4000       -6877.0527  -6874.1934   -6901.1064      26.9130  3253.3
0.4100       -6877.0049  -6873.7671   -6900.8584      27.0915  3274.8
0.4200       -6876.9810  -6874.3940   -6903.1094      28.7155  3471.1
0.4300       -6876.9126  -6876.2949   -6901.8833      25.5885  3093.1
0.4400       -6876.9268  -6878.2188   -6899.9312      21.7124  2624.6
0.4500       -6876.9697  -6879.5586   -6903.7300      24.1714  2921.9
0.4600       -6876.9731  -6880.6440   -6902.1592      21.5152  2600.8
0.4700       -6877.0312  -6880.8740   -6900.5972      19.7231  2384.1
0.4800       -6877.1011  -6879.9448   -6901.1045      21.1595  2557.8
0.4900       -6877.1323  -6877.9995   -6901.5215      23.5219  2843.3
0.5000       -6877.1230  -6875.5464   -6902.8979      27.3516  3306.3
0.5100       -6877.0728  -6873.7783   -6902.3320      28.5538  3451.6
0.5200       -6877.0059  -6873.4414   -6901.6235      28.1823  3406.7
0.5300       -6876.9482  -6874.5410   -6902.7778      28.2366  3413.3
0.5400       -6876.9189  -6876.7700   -6902.2466      25.4765  3079.6
0.5500       -6876.9155  -6879.1665   -6902.4727      23.3062  2817.3
0.5600       -6876.9443  -6881.0264   -6902.1982      21.1719  2559.3
0.5700       -6877.0137  -6881.9536   -6903.1318      21.1783  2560.0
0.5800       -6877.0503  -6882.0684   -6905.4746      23.4063  2829.4
0.5900       -6877.0474  -6881.7695   -6904.5337      22.7640  2751.7
0.6000       -6877.0815  -6881.0317   -6903.0142      21.9825  2657.2
0.6100       -6877.1260  -6879.6260   -6901.7769      22.1508  2677.6
0.6200       -6877.1313  -6877.4961   -6903.4238      25.9279  3134.2
0.6300       -6877.0845  -6875.5293   -6903.4927      27.9635  3380.2
0.6400       -6877.0366  -6874.7080   -6902.5601      27.8522  3366.8
0.6500       -6876.9893  -6875.1582   -6903.2700      28.1117  3398.2
0.6600       -6876.9272  -6876.8013   -6902.9980      26.1967  3166.7
0.6700       -6876.9297  -6878.7646   -6901.3716      22.6068  2732.7
0.6800       -6876.9766  -6880.1729   -6902.5659      22.3932  2706.9
0.6900       -6877.0151  -6881.0000   -6903.4482      22.4484  2713.6
0.7000       -6877.0400  -6881.1509   -6901.6523      20.5013  2478.2
0.7100       -6877.1099  -6880.3530   -6901.5967      21.2436  2567.9
0.7200       -6877.1323  -6878.5815   -6903.0435      24.4619  2957.0
0.7300       -6877.1050  -6876.5654   -6903.9941      27.4289  3315.6
0.7400       -6877.0498  -6875.3867   -6902.7612      27.3743  3309.0
0.7500       -6877.0215  -6875.2861   -6902.4092      27.1232  3278.7
0.7600       -6876.9629  -6876.0742   -6902.8853      26.8112  3240.9
0.7700       -6876.9541  -6877.7212   -6903.7056      25.9843  3141.0
0.7800       -6876.9409  -6879.5498   -6901.4561      21.9064  2648.1
0.7900       -6877.0049  -6880.5361   -6901.0054      20.4690  2474.3
0.8000       -6877.0459  -6880.5547   -6903.5322      22.9777  2777.6
