Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.7700       -6889.2637  -6888.9937   -6907.3301      18.3363  2216.5
0.7800       -6889.2310  -6889.5078   -6907.1021      17.5944  2126.8
0.7900       -6889.2202  -6890.3687   -6906.1226      15.7539  1904.3
0.8000       -6889.2612  -6891.0254   -6905.3027      14.2774  1725.9
0.8100       -6889.2861  -6891.0938   -6905.1167      14.0230  1695.1
0.8200       -6889.3159  -6890.5684   -6905.4380      14.8694  1797.4
0.8300       -6889.3345  -6889.5854   -6904.6431      15.0574  1820.2
0.8400       -6889.3594  -6888.2524   -6904.7710      16.5186  1996.8
0.8500       -6889.3218  -6886.8135   -6905.7061      18.8924  2283.7
0.8600       -6889.2686  -6886.2026   -6906.5186      20.3161  2455.8
0.8700       -6889.2280  -6886.9512   -6904.8110      17.8598  2158.9
0.8800       -6889.2202  -6888.1758   -6904.7344      16.5584  2001.6
0.8900       -6889.2056  -6889.4233   -6905.0859      15.6628  1893.3
0.9000       -6889.2388  -6890.4292   -6905.1577      14.7283  1780.4
0.9100       -6889.2715  -6890.9731   -6905.5352      14.5618  1760.2
0.9200       -6889.2852  -6891.0210   -6905.8545      14.8337  1793.1
0.9300       -6889.2988  -6890.6689   -6906.3760      15.7069  1898.7
0.9400       -6889.2944  -6890.1074   -6906.7280      16.6205  2009.1
0.9500       -6889.3110  -6889.6187   -6905.3721      15.7536  1904.3
0.9600       -6889.3145  -6888.9844   -6904.1445      15.1603  1832.6
0.9700       -6889.3340  -6888.0781   -6906.0269      17.9485  2169.6
0.9800       -6889.2832  -6887.5376   -6905.8247      18.2873  2210.6
0.9900       -6889.2676  -6887.6724   -6904.7446      17.0723  2063.7
1.0000       -6889.2344  -6888.0835   -6905.1958      17.1121  2068.5
1.0100       -6889.2505  -6888.7915   -6905.4360      16.6448  2012.0
1.0200       -6889.2471  -6889.5107   -6904.8711      15.3605  1856.8
1.0300       -6889.2388  -6889.9644   -6905.7964      15.8322  1913.8
1.0400       -6889.2520  -6890.3350   -6906.6733      16.3384  1975.0
1.0500       -6889.2554  -6890.6880   -6906.7388      16.0507  1940.2
1.0600       -6889.2773  -6890.9966   -6907.0601      16.0636  1941.8
1.0700       -6889.2886  -6891.1768   -6906.2002      15.0236  1816.1
1.0800       -6889.2993  -6891.0337   -6907.2930      16.2591  1965.4
1.0900       -6889.2729  -6890.9033   -6909.5171      18.6135  2250.0
1.1000       -6889.2271  -6891.5005   -6909.6060      18.1054  2188.6
1.1100       -6889.2095  -6892.5684   -6907.8789      15.3107  1850.8
1.1200       -6889.2715  -6893.2144   -6905.4053      12.1911  1473.7
1.1300       -6889.3262  -6892.8521   -6904.8311      11.9790  1448.0
1.1400       -6889.3828  -6891.4180   -6905.9116      14.4936  1752.0
1.1500       -6889.3770  -6889.1235   -6906.8716      17.7479  2145.4
1.1600       -6889.3545  -6886.9614   -6906.3833      19.4220  2347.7
1.1700       -6889.2852  -6885.8252   -6906.2192      20.3940  2465.2
1.1800       -6889.2241  -6886.2280   -6905.6836      19.4556  2351.8
1.1900       -6889.1846  -6887.5317   -6903.4453      15.9135  1923.6
1.2000       -6889.2222  -6888.7241   -6904.2485      15.5243  1876.6
1.2100       -6889.2363  -6889.6909   -6905.6255      15.9345  1926.2
1.2200       -6889.2339  -6890.5771   -6906.9033      16.3262  1973.5
1.2300       -6889.2192  -6891.3975   -6906.9141      15.5166  1875.7
1.2400       -6889.2544  -6892.0640   -6908.0386      15.9747  1931.0
1.2500       -6889.2427  -6892.5967   -6908.8149      16.2181  1960.5
1.2600       -6889.2500  -6893.0508   -6907.5869      14.5361  1757.1
1.2700       -6889.2793  -6893.0166   -6907.2490      14.2322  1720.4
1.2800       -6889.3164  -6892.4551   -6908.6411      16.1858  1956.5
1.2900       -6889.2993  -6891.7256   -6907.7915      16.0661  1942.1
1.3000       -6889.2959  -6890.9648   -6907.4312      16.4663  1990.5
1.3100       -6889.2832  -6890.2515   -6908.2358      17.9845  2174.0
1.3200       -6889.2681  -6890.0278   -6907.1748      17.1470  2072.7
1.3300       -6889.2710  -6890.1045   -6906.7070      16.6024  2006.9
1.3400       -6889.2690  -6890.3628   -6907.9761      17.6132  2129.1
1.3500       -6889.2412  -6890.8877   -6906.2886      15.4008  1861.7
1.3600       -6889.2642  -6891.1641   -6905.8252      14.6613  1772.3
1.3700       -6889.3110  -6891.0645   -6907.3994      16.3351  1974.6
1.3800       -6889.2729  -6890.8730   -6907.8545      16.9816  2052.7
1.3900       -6889.2725  -6890.9121   -6907.3008      16.3889  1981.1
1.4000       -6889.2637  -6890.9424   -6906.2847      15.3425  1854.6
1.4100       -6889.2754  -6890.7417   -6906.3613      15.6196  1888.1
1.4200       -6889.3140  -6890.3701   -6906.4316      16.0615  1941.5
1.4300       -6889.3306  -6889.8774   -6905.5571      15.6796  1895.4
1.4400       -6889.3086  -6889.2109   -6906.3086      17.0976  2066.8
1.4500       -6889.2710  -6888.7290   -6905.9775      17.2487  2085.0
1.4600       -6889.2871  -6888.5654   -6904.3188      15.7534  1904.3
1.4700       -6889.2710  -6888.2993   -6905.4912      17.1921  2078.2
1.4800       -6889.2651  -6888.3506   -6906.9727      18.6221  2251.0
1.4900       -6889.2305  -6889.1797   -6907.8062      18.6265  2251.6
1.5000       -6889.1685  -6890.7441   -6908.2300      17.4856  2113.7
1.5100       -6889.1816  -6892.5332   -6907.6836      15.1504  1831.4
1.5200       -6889.2109  -6893.8232   -6907.7388      13.9157  1682.1
1.5300       -6889.2520  -6894.3867   -6907.1777      12.7911  1546.2
1.5400       -6889.2817  -6894.0977   -6907.9307      13.8331  1672.1
1.5500       -6889.3306  -6893.1309   -6907.5923      14.4615  1748.1
1.5600       -6889.3677  -6891.5918   -6907.7212      16.1293  1949.7
1.5700       -6889.3501  -6889.7915   -6908.0537      18.2620  2207.5
1.5800       -6889.2983  -6888.5010   -6908.0200      19.5188  2359.4
1.5900       -6889.2607  -6888.3408   -6907.2798      18.9390  2289.4
1.6000       -6889.2222  -6889.1636   -6907.6362      18.4728  2233.0
1.6100       -6889.1831  -6890.6245   -6907.5713      16.9466  2048.5
1.6200       -6889.1841  -6892.2559   -6908.4570      16.2011  1958.4
1.6300       -6889.1943  -6893.7104   -6908.0850      14.3745  1737.6
1.6400       -6889.2407  -6894.5259   -6908.0190      13.4932  1631.1
1.6500       -6889.3052  -6894.6323   -6908.3184      13.6860  1654.4
1.6600       -6889.3110  -6893.9980   -6908.2964      14.2984  1728.4
1.6700       -6889.3413  -6892.8042   -6907.9087      15.1043  1825.8
1.6800       -6889.3726  -6891.2031   -6907.6040      16.4009  1982.6
