Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6880.9623  -6880.8844   -6903.4748      22.5904  2730.7
0.0200       -6881.0067  -6880.2175   -6901.1142      20.8967  2526.0
0.0300       -6881.0492  -6878.6376   -6901.6573      23.0197  2782.6
0.0400       -6881.0454  -6876.4383   -6902.7750      26.3367  3183.6
0.0500       -6881.0048  -6874.6249   -6901.5075      26.8826  3249.6
0.0600       -6880.9633  -6873.6710   -6901.5466      27.8755  3369.6
0.0700       -6880.8988  -6873.9355   -6902.5498      28.6144  3458.9
0.0800       -6880.8571  -6875.4959   -6900.4598      24.9639  3017.7
0.0900       -6880.8816  -6876.9554   -6897.8603      20.9049  2527.0
0.1000       -6880.9325  -6877.5213   -6900.8052      23.2839  2814.6
0.1100       -6880.9218  -6877.8428   -6904.1695      26.3267  3182.4
0.1200       -6880.8987  -6878.6117   -6903.1185      24.5067  2962.4
0.1300       -6880.9031  -6879.4487   -6903.7080      24.2593  2932.5
0.1400       -6880.9041  -6880.2528   -6904.8165      24.5637  2969.3
0.1500       -6880.9088  -6881.0399   -6904.3291      23.2892  2815.2
0.1600       -6880.9430  -6881.4091   -6902.4940      21.0848  2548.7
0.1700       -6880.9964  -6880.9328   -6902.8816      21.9488  2653.2
0.1800       -6881.0245  -6879.6912   -6902.6042      22.9130  2769.7
0.1900       -6881.0405  -6877.9566   -6901.9902      24.0336  2905.2
0.2000       -6881.0381  -6876.0093   -6901.0499      25.0406  3026.9
0.2100       -6881.0237  -6874.1862   -6899.6556      25.4693  3078.7
0.2200       -6881.0029  -6872.6926   -6899.1533      26.4607  3198.6
0.2300       -6880.9518  -6871.8650   -6900.6310      28.7660  3477.2
0.2400       -6880.8761  -6872.5566   -6901.9720      29.4154  3555.7
0.2500       -6880.8063  -6874.9862   -6902.3942      27.4080  3313.1
0.2600       -6880.7846  -6878.1648   -6902.7767      24.6119  2975.1
0.2700       -6880.8022  -6881.0815   -6903.0080      21.9265  2650.5
0.2800       -6880.8618  -6883.0174   -6902.6999      19.6825  2379.2
0.2900       -6880.9442  -6883.6704   -6902.8771      19.2067  2321.7
0.3000       -6881.0169  -6883.0407   -6903.8080      20.7674  2510.4
0.3100       -6881.0561  -6881.3300   -6904.2172      22.8872  2766.6
0.3200       -6881.0632  -6878.9948   -6904.0608      25.0661  3030.0
0.3300       -6881.0341  -6876.6507   -6903.8909      27.2402  3292.8
0.3400       -6880.9810  -6875.1351   -6903.2454      28.1103  3398.0
0.3500       -6880.9219  -6874.9272   -6903.4436      28.5164  3447.1
0.3600       -6880.8791  -6876.0133   -6900.7309      24.7176  2987.9
0.3700       -6880.9149  -6876.9508   -6896.9537      20.0029  2418.0
0.3800       -6880.9754  -6876.8370   -6899.6264      22.7894  2754.8
0.3900       -6880.9703  -6876.1821   -6902.3235      26.1414  3160.0
0.4000       -6880.9293  -6876.0041   -6903.6030      27.5989  3336.2
0.4100       -6880.8791  -6876.9018   -6904.0966      27.1948  3287.3
0.4200       -6880.8547  -6878.5897   -6903.0480      24.4582  2956.5
0.4300       -6880.8719  -6880.1447   -6902.7546      22.6099  2733.1
0.4400       -6880.9026  -6881.1973   -6904.0865      22.8892  2766.9
0.4500       -6880.9285  -6881.7515   -6904.1104      22.3589  2702.8
