Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100       -6879.9683  -6880.1924   -6905.5312      25.3391  3063.0
0.0200       -6879.9990  -6880.5356   -6903.6108      23.0751  2789.3
0.0300       -6879.9971  -6880.5049   -6904.2217      23.7168  2866.9
0.0400       -6880.0098  -6880.2935   -6905.1709      24.8772  3007.2
0.0500       -6879.9961  -6880.1704   -6904.8677      24.6972  2985.4
0.0600       -6880.0005  -6880.1167   -6903.6855      23.5687  2849.0
0.0700       -6880.0454  -6879.8320   -6902.3101      22.4779  2717.1
0.0800       -6880.0527  -6878.9761   -6902.0947      23.1187  2794.6
0.0900       -6880.0654  -6877.7246   -6902.5928      24.8679  3006.0
0.1000       -6880.0449  -6876.4868   -6901.2080      24.7211  2988.3
0.1100       -6880.0479  -6875.4204   -6901.7559      26.3355  3183.4
0.1200       -6879.9873  -6874.9058   -6902.8608      27.9548  3379.2
0.1300       -6879.9404  -6875.6279   -6903.4575      27.8295  3364.0
0.1400       -6879.9067  -6877.2393   -6900.3027      23.0632  2787.9
0.1500       -6879.9824  -6878.3320   -6899.3496      21.0174  2540.6
0.1600       -6880.0039  -6878.4595   -6899.6118      21.1522  2556.9
0.1700       -6880.0635  -6877.7368   -6900.2236      22.4869  2718.2
0.1800       -6880.0464  -6876.3711   -6903.5908      27.2195  3290.3
0.1900       -6879.9873  -6875.7012   -6903.4927      27.7914  3359.4
0.2000       -6879.9565  -6876.1606   -6901.9312      25.7705  3115.2
0.2100       -6879.9473  -6876.9819   -6900.9272      23.9451  2894.5
0.2200       -6879.9458  -6877.7832   -6903.4219      25.6385  3099.2
0.2300       -6879.9248  -6878.9868   -6904.8135      25.8269  3122.0
0.2400       -6879.9126  -6880.4199   -6902.8735      22.4538  2714.2
0.2500       -6879.9858  -6881.2817   -6903.1904      21.9085  2648.3
0.2600       -6879.9761  -6881.4380   -6905.0200      23.5820  2850.6
0.2700       -6880.0093  -6881.3179   -6903.9814      22.6633  2739.6
0.2800       -6880.0635  -6880.7300   -6903.8618      23.1320  2796.2
0.2900       -6880.0249  -6879.6738   -6904.7388      25.0650  3029.9
0.3000       -6880.0278  -6878.7881   -6904.1562      25.3682  3066.5
0.3100       -6880.0161  -6878.1929   -6903.9033      25.7103  3107.9
0.3200       -6880.0190  -6878.0269   -6903.8662      25.8394  3123.5
0.3300       -6879.9819  -6878.3369   -6904.9678      26.6308  3219.1
0.3400       -6879.9370  -6879.2764   -6904.1655      24.8893  3008.6
0.3500       -6879.9419  -6880.2837   -6902.9087      22.6250  2734.9
0.3600       -6879.9946  -6880.7500   -6902.1724      21.4225  2589.6
0.3700       -6880.0469  -6880.3779   -6901.0923      20.7143  2504.0
0.3800       -6880.0918  -6879.0518   -6902.6919      23.6400  2857.6
0.3900       -6880.0781  -6877.2417   -6904.5044      27.2626  3295.5
0.4000       -6880.0146  -6876.1699   -6904.1323      27.9624  3380.1
0.4100       -6879.9897  -6876.2988   -6902.2119      25.9129  3132.4
0.4200       -6879.9536  -6876.8975   -6901.5151      24.6178  2975.8
0.4300       -6879.9517  -6877.5977   -6902.1079      24.5102  2962.8
0.4400       -6879.9580  -6878.3330   -6903.1528      24.8200  3000.3
0.4500       -6879.9478  -6879.2334   -6904.6978      25.4643  3078.1
0.4600       -6879.9487  -6880.3862   -6904.1870      23.8009  2877.1
0.4700       -6879.9604  -6881.2534   -6903.5679      22.3146  2697.4
0.4800       -6879.9946  -6881.5669   -6904.5215      22.9547  2774.8
0.4900       -6880.0269  -6881.4814   -6905.8252      24.3438  2942.7
0.5000       -6880.0210  -6881.2842   -6905.3169      24.0326  2905.1
0.5100       -6880.0073  -6880.9360   -6904.4419      23.5060  2841.4
0.5200       -6879.9995  -6880.3853   -6905.4922      25.1069  3034.9
0.5300       -6880.0254  -6879.9883   -6904.0015      24.0131  2902.7
0.5400       -6880.0161  -6879.4355   -6902.4199      22.9842  2778.3
0.5500       -6880.0464  -6878.5327   -6901.8662      23.3334  2820.6
0.5600       -6880.0645  -6877.2534   -6900.7974      23.5442  2846.0
