Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.7700       -6880.6147  -6881.8701   -6903.8208      21.9506  2653.4
0.7800       -6880.6699  -6883.5132   -6902.9341      19.4210  2347.6
0.7900       -6880.7544  -6883.8735   -6903.9463      20.0727  2426.4
0.8000       -6880.8081  -6883.1182   -6905.5078      22.3898  2706.5
0.8100       -6880.8311  -6881.6646   -6905.0029      23.3382  2821.1
0.8200       -6880.8237  -6879.7974   -6905.8882      26.0911  3153.9
0.8300       -6880.7949  -6878.2817   -6904.5239      26.2423  3172.2
0.8400       -6880.7671  -6877.3833   -6902.9990      25.6158  3096.4
0.8500       -6880.7573  -6876.8638   -6901.1694      24.3056  2938.1
0.8600       -6880.7568  -6876.3804   -6901.5103      25.1299  3037.7
0.8700       -6880.7427  -6876.0742   -6901.1074      25.0330  3026.0
0.8800       -6880.7344  -6876.0547   -6902.6255      26.5706  3211.9
0.8900       -6880.6938  -6876.7100   -6903.7422      27.0324  3267.7
0.9000       -6880.6597  -6878.2241   -6904.3594      26.1354  3159.3
0.9100       -6880.6519  -6880.0938   -6903.2534      23.1596  2799.5
0.9200       -6880.6802  -6881.5059   -6903.8037      22.2980  2695.4
0.9300       -6880.7163  -6882.2856   -6904.1890      21.9031  2647.7
0.9400       -6880.7593  -6882.3433   -6903.8564      21.5132  2600.5
0.9500       -6880.8091  -6881.6162   -6903.7144      22.0981  2671.2
0.9600       -6880.8359  -6880.1670   -6902.2622      22.0954  2670.9
0.9700       -6880.8608  -6878.0547   -6901.4062      23.3517  2822.8
0.9800       -6880.8604  -6875.4487   -6902.1797      26.7311  3231.3
0.9900       -6880.8032  -6873.3105   -6902.9067      29.5961  3577.6
1.0000       -6880.7109  -6872.9585   -6903.6572      30.6986  3710.9
1.0100       -6880.6177  -6874.9619   -6904.4570      29.4952  3565.4
1.0200       -6880.5576  -6878.5786   -6904.8369      26.2583  3174.1
1.0300       -6880.5615  -6882.2100   -6903.8169      21.6068  2611.8
1.0400       -6880.6362  -6884.5083   -6902.6509      18.1428  2193.1
1.0500       -6880.7373  -6885.2456   -6904.2251      18.9796  2294.3
1.0600       -6880.8047  -6884.6509   -6905.6938      21.0431  2543.7
1.0700       -6880.8423  -6883.0400   -6906.6914      23.6512  2859.0
1.0800       -6880.8369  -6880.9834   -6906.0386      25.0553  3028.7
1.0900       -6880.8184  -6879.0425   -6904.3457      25.3030  3058.6
1.1000       -6880.7983  -6877.3774   -6903.3794      26.0019  3143.1
1.1100       -6880.7744  -6876.1831   -6901.5063      25.3231  3061.1
1.1200       -6880.7568  -6875.3037   -6900.8594      25.5558  3089.2
1.1300       -6880.7339  -6874.8477   -6902.2349      27.3872  3310.6
1.1400       -6880.6787  -6875.3882   -6903.4854      28.0970  3396.4
1.1500       -6880.6318  -6877.0674   -6902.6616      25.5944  3093.9
1.1600       -6880.6328  -6879.0107   -6902.9092      23.8985  2888.9
1.1700       -6880.6475  -6880.7461   -6903.8569      23.1111  2793.7
1.1800       -6880.6802  -6881.9937   -6903.8633      21.8698  2643.6
1.1900       -6880.7217  -6882.5610   -6905.1543      22.5933  2731.1
1.2000       -6880.7466  -6882.5654   -6904.8975      22.3320  2699.5
1.2100       -6880.7861  -6881.9614   -6902.9556      20.9940  2537.8
1.2200       -6880.8354  -6880.4863   -6902.1958      21.7094  2624.2
1.2300       -6880.8628  -6878.1294   -6901.5024      23.3732  2825.4
1.2400       -6880.8662  -6875.3018   -6900.2822      24.9803  3019.6
1.2500       -6880.8369  -6872.4326   -6901.6680      29.2355  3534.0
1.2600       -6880.7358  -6870.9478   -6901.9097      30.9618  3742.7
1.2700       -6880.6431  -6871.9258   -6901.5405      29.6147  3579.8
1.2800       -6880.5815  -6874.6567   -6901.5166      26.8599  3246.8
1.2900       -6880.5659  -6877.9419   -6902.0825      24.1407  2918.1
1.3000       -6880.5947  -6880.7896   -6902.3271      21.5377  2603.5
1.3100       -6880.6509  -6882.6558   -6903.2676      20.6116  2491.5
1.3200       -6880.7158  -6883.5366   -6904.6152      21.0785  2548.0
1.3300       -6880.7617  -6883.4600   -6903.3691      19.9091  2406.6
1.3400       -6880.8345  -6882.2734   -6902.3306      20.0573  2424.5
1.3500       -6880.8789  -6879.7964   -6904.2432      24.4468  2955.1
1.3600       -6880.8574  -6876.8657   -6902.6602      25.7946  3118.1
1.3700       -6880.8188  -6874.2939   -6903.4790      29.1850  3527.9
1.3800       -6880.7280  -6873.1582   -6902.5537      29.3953  3553.3
1.3900       -6880.6562  -6874.0151   -6904.0811      30.0657  3634.4
1.4000       -6880.5835  -6876.7310   -6903.7217      26.9906  3262.6
1.4100       -6880.5737  -6879.9888   -6903.6421      23.6535  2859.2
1.4200       -6880.6011  -6882.6689   -6904.0371      21.3680  2583.0
1.4300       -6880.6606  -6884.4443   -6905.7520      21.3077  2575.7
1.4400       -6880.7085  -6885.3525   -6906.6577      21.3051  2575.4
1.4500       -6880.7661  -6885.3550   -6905.4106      20.0556  2424.3
1.4600       -6880.8276  -6884.2808   -6905.8350      21.5543  2605.5
1.4700       -6880.8628  -6882.2944   -6904.1094      21.8151  2637.0
1.4800       -6880.8818  -6879.5000   -6904.2144      24.7145  2987.5
1.4900       -6880.8521  -6876.3774   -6905.6826      29.3053  3542.4
1.5000       -6880.7612  -6874.6641   -6904.5674      29.9034  3614.7
1.5100       -6880.6904  -6874.9487   -6902.2949      27.3461  3305.6
1.5200       -6880.6714  -6876.1123   -6900.1162      24.0037  2901.6
1.5300       -6880.6816  -6877.2568   -6902.0225      24.7658  2993.7
1.5400       -6880.6782  -6878.4385   -6902.4839      24.0452  2906.6
1.5500       -6880.6953  -6879.4712   -6902.6299      23.1587  2799.4
1.5600       -6880.7183  -6880.1279   -6903.0430      22.9153  2770.0
1.5700       -6880.7437  -6880.2817   -6902.6470      22.3650  2703.5
1.5800       -6880.7627  -6879.9092   -6903.5103      23.6011  2852.9
1.5900       -6880.7803  -6879.2212   -6902.1567      22.9358  2772.5
1.6000       -6880.7891  -6878.1885   -6905.2593      27.0707  3272.3
1.6100       -6880.7271  -6877.8145   -6905.2788      27.4642  3319.9
1.6200       -6880.7065  -6878.2900   -6901.3662      23.0761  2789.4
1.6300       -6880.7314  -6878.5361   -6902.5483      24.0124  2902.6
1.6400       -6880.7329  -6878.5815   -6902.6011      24.0197  2903.5
1.6500       -6880.7354  -6878.5181   -6902.9106      24.3924  2948.6
1.6600       -6880.7339  -6878.4663   -6903.6738      25.2074  3047.1
1.6700       -6880.7163  -6878.6377   -6903.9536      25.3160  3060.2
1.6800       -6880.7065  -6879.0645   -6903.7778      24.7132  2987.3
1.6900       -6880.7051  -6879.6436   -6904.8589      25.2154  3048.0
1.7000       -6880.7026  -6880.3584   -6903.5996      23.2413  2809.4
1.7100       -6880.7334  -6880.7104   -6902.9277      22.2174  2685.6
1.7200       -6880.7607  -6880.4712   -6903.8892      23.4181  2830.8
1.7300       -6880.7676  -6879.9004   -6904.1782      24.2777  2934.7
1.7400       -6880.7764  -6879.2290   -6902.8174      23.5883  2851.4
1.7500       -6880.7900  -6878.3506   -6902.4429      24.0925  2912.3
1.7600       -6880.7969  -6877.3037   -6900.3223      23.0184  2782.5
1.7700       -6880.8169  -6875.9229   -6900.3091      24.3862  2947.8
